Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
weak heart muscle,weak heart muscle,Weak muscles,"['muscles weak' 'WEAK MUSCLES' 'Weak muscles' 'Weak muscles'
 'Weak muscles']",Semantic confusion
excessive sleep,excessive sleep,excessive sleep requirements,"['Inability to Sleep' 'Constant sleepiness' 'sleep disturbances'
 'lack of sleep' 'excessive sleep requirements']",Semantic confusion
muscle pain in right hip,muscle pain in right hip,MUSCLE PAIN IN HIP,"['Pain in hip' 'stiffnes and pain in my right hip'
 'SEVERE muscle pain in hip joints' 'pain in my left hip'
 'MUSCLE PAIN IN HIP']",Semantic confusion
severe pain in leg,severe pain in leg,Severe leg pain,"['pain in leg' 'severe leg pains' 'severe pain in legs'
 'severe pain in legs' 'Severe leg pain']",Semantic confusion
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
extreme abdominal issues,extreme abdominal issues,abdominal problems,"['severe abdominal pain' 'severe abdominal pain' 'TERRIBLE abdominal pain'
 'abdominal discomfort' 'abdominal problems']",Semantic confusion
kidney,KIDNEY,KIDNEY TROUBLES,"['kidneys hurt' 'kidney pain' 'kidney pain' 'kidney problems'
 'KIDNEY TROUBLES']",Semantic confusion
pain in shoulder,Pain in shoulder,pain in shoulder,"['pain in the shoulder' 'pain in shoulder' 'Pain in shoulder'
 'pain in shoulder' 'pain in shoulder']",Lexical variation
increased menstruation,increased menstruation,increased menstrual blood flow,"['menstruating with heavy bleeding every 11 days'
 'extended bleeding during menstruation' 'inhibiting my menstrual cycle'
 'slightly heavier menstrual cycle' 'increased menstrual blood flow']",Semantic confusion
forgetfulness,Forgetfulness,forgetfulness,"['extreme forgetfulness' 'forgetfulness' 'forgetfulness' 'forgetfulness'
 'forgetfulness']",Semantic confusion
urine dark brown,urine dark brown,dark urine,"['urine full of blood' 'urine is bloody' 'darkness in urine' 'dark urine'
 'dark urine']",Semantic confusion
muscle pain in left arm,Muscle Pain in left arm,severe muscle pain in left arm,"['pain in upper right arm' 'Muscle pain in left elbow'
 'severe pain in my left arm' 'Pain in left arm'
 'severe muscle pain in left arm']",Semantic confusion
loss of muscel strength,loss of muscel strength,total muscel weakness,"['loss of strength' 'loss of strength' 'loss of strength' 'muscel fatigue'
 'total muscel weakness']",Semantic confusion
fuzzy thinking,Fuzzy thinking,fuzzy thinking,['brain vague' 'Muddled thinking' 'fuzzy vision' 'Fuzzy' 'fuzzy thinking'],Semantic confusion
breathing problems,breathing problems,difficulty breathing,"['Loss of breath' 'difficulty breathing' 'difficulty breathing'
 'difficulty breathing' 'difficulty breathing']",Semantic confusion
very bad pains in arms,very bad pains in arms,severe pains in my arms,"['severe pain in arm' 'pain in arms' 'Pain in arms'
 'extremly bad pains in arms' 'severe pains in my arms']",Semantic confusion
headache,headache,Headache,['headache' 'headache' 'headache' 'headache' 'Headache'],Lexical variation
pain in my kidney area,pain in my kidney area,kidney pain,"['kidney problems' 'KIDNEY TROUBLES' 'kidneys hurt' 'kidney pain'
 'kidney pain']",Semantic confusion
muscles hurt,muscles hurt,muscles pain,"['Pain in muscles' 'Pain in muscles' 'pain in muscles' 'pain in muscles'
 'muscles pain']",Semantic confusion
severe burning of the feet,severe burning of the feet,burning in the soles of my feet,"['burning feet' 'Burning feet' 'burning feet' 'burning feet in toe area'
 'burning in the soles of my feet']",Semantic confusion
hand numbness,hand numbness,Severe numbness in hand,"['Hands numb' 'hands numb' 'numbness hands' 'numbness in my hands'
 'Severe numbness in hand']",Semantic confusion
permanent damage to my muscles,permanent damage to my muscles,permanent muscle damage,"['muscle damage' 'muscle damage' 'damaging my muscles'
 'damage to my muscles' 'permanent muscle damage']",Semantic confusion
tingles although the body,tingles although the body,Hands tingle,"['tingling hands' 'tingle' 'tingling in hands' 'tingling in the hands'
 'Hands tingle']",Semantic confusion
fuzzy headed,fuzzy headed,Fuzzy,['LIGHT HEADED' 'light headed' 'light headed' 'fuzzy thinking' 'Fuzzy'],Semantic confusion
cold sweat shaking uncontrollably,"cold sweat, shaking uncontrollably",shaking with chills uncontrollably,"['unexplained sweating' 'cold sweat' 'Cold sweat' 'cold sweats'
 'shaking with chills uncontrollably']",Semantic confusion
pain in my left thigh,pain in my left thigh,pain in right thigh,"['THIGH PAIN' 'thigh pain' 'pain in my my left leg' 'pain in my left leg'
 'pain in right thigh']",Semantic confusion
peripheral neuropathy,Peripheral Neuropathy,peripheral neuropathy,"['neuropathy' 'peripheral neuropathy' 'Peripheral Neuropathy'
 'peripheral neuropathy' 'peripheral neuropathy']",Lexical variation
aches and pains,Aches and pains,aches and pains,"['aches and pains' 'Aches and pains' 'aches and pains' 'aches and pains'
 'aches and pains']",Lexical variation
pain in the lower legs,pain in the lower legs,Pain in lower legs,"['pain in my lower leg' 'pain in my lower leg' 'lower leg pain'
 'Pain in my lower legs' 'Pain in lower legs']",Semantic confusion
burning,Burning,burning,['burning' 'burning' 'burning' 'burning' 'burning'],Semantic confusion
deep depression,Deep depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
developed sore legs,Developed sore legs,sore legs,['leg soreness' 'leg soreness' 'sore legs' 'sore legs' 'sore legs'],Semantic confusion
bizarre muscular sensations,bizarre muscular sensations,muscle tingley thing,"['odd sensation in the center back of my calves' 'vibrating sensation'
 'muscular pain' 'muscular pain' 'muscle tingley thing']",Semantic confusion
bad taste in mouth,bad taste in mouth,taste loss,"['Extremely dry mouth' 'decreased sense of taste' 'altered taste'
 'swallowing so bad' 'taste loss']",Semantic confusion
joint aches in elbows,joint aches in elbows,Joint pain in elbows,"['joint aches in arms' 'Muscle aches in elbows' 'Joint pain (elbows!)'
 'aching joints elbows' 'Joint pain in elbows']",Semantic confusion
severe depression,severe depression,Severe depression,"['severe depression' 'severe depression' 'severe depression'
 'severe depression' 'Severe depression']",Lexical variation
effected my equilibrium,effected my equilibrium,decrease in balance,"['problems with balance' 'balance problems' 'BALANCE PROBLEMS'
 'balance problems' 'decrease in balance']",Semantic confusion
tingling in feet,tingling in feet,tingling of feet,"['tingling in the soles of my feet' 'Tingling toes'
 'sensations of tingling in my feet' 'Tingling in toes and feet'
 'tingling of feet']",Semantic confusion
burning sensations in shoulders,Burning sensations in shoulders,burning of shoulders,"['Burning sensations in neck' 'pain in shoulders' 'pain in shoulders'
 'pain in shoulders' 'burning of shoulders']",Semantic confusion
laziness,laziness,diziness,"['lack of motivation' 'lack of motivation'
 ""lazyness (I don't feel like doing anything)"" 'diziness' 'diziness']",Semantic confusion
muscle pain in feet,muscle pain in feet,pain in feet,"['feet pains' 'severe pain in feet' 'pain in feet and legs' 'pain in feet'
 'pain in feet']",Semantic confusion
extreme tiredness,extreme tiredness,Extreme tiredness,"['extreme tiredness' 'extreme tiredness' 'extreme tiredness'
 'Extreme tiredness' 'Extreme tiredness']",Lexical variation
bp,BP 145/95,high BP,['elevated BP' 'BP was very low' 'Increased BP' 'low bp' 'high BP'],Semantic confusion
chronic diarrhea,chronic diarrhea,diarrhea,['diarrhea' 'Diarrhea' 'diarrhea' 'diarrhea' 'diarrhea'],Semantic confusion
very poor appetite,very poor appetite,lack of appetite,"['increased appetite' 'loss of appetite' 'loss of appetite'
 'loss of appetite' 'lack of appetite']",Semantic confusion
horrible stomach pain,horrible stomach pain,terrible stomach pain,"['stomach pain' 'stomach pain' 'stomach pain' 'stomach pain'
 'terrible stomach pain']",Semantic confusion
right ventricular was mildly dilated,right ventricular was mildly dilated,intense heart pain,"['heart palpatations' 'altered my heart function' 'chest pain left side'
 'leaky heart valves' 'intense heart pain']",Semantic confusion
zombie like tired,zombie like tired,EXTREME ZOMBIE LIKE STATE,"['tired' 'tired' 'zombie like doped up state'
 'generaly feeling unwell like walking in a daze (Zombie like)'
 'EXTREME ZOMBIE LIKE STATE']",Semantic confusion
tired more than ususal,Tired more than ususal,tired all the time,"['tired all the time' 'tired all the time' 'tired all the time'
 'tired all the time' 'tired all the time']",Semantic confusion
severe back pain,severe back pain,Severe back pain,"['severe pain in back' 'Severe back pain' 'Severe back pain'
 'Severe back pain' 'Severe back pain']",Semantic confusion
loss of muscle structure in the calf muscles,loss of muscle structure in the calf muscles,noticible loss of muscle structure,"['loss of muscle'
 'loss of support in all muscels in particular calf and leg'
 'Calf muscle strains' 'LOSS OF CALF SUPPORT IN LEGS'
 'noticible loss of muscle structure']",Semantic confusion
hard on my stomach,hard on my stomach,Hard on my stomach,"['terrible stomach pain' 'pain in my stomach' 'pain in my stomach'
 'stomach rough' 'Hard on my stomach']",Semantic confusion
migranes during sexual intercourse,migranes during sexual intercourse,Migranes,['migrane headaches' 'migrane headaches' 'Migranes' 'migranes' 'migranes'],Semantic confusion
excruciating pain,Excruciating pain,excruciating pain,"['excrutiation pain throughout my entire body' 'excruciatig pain'
 'excruciating pain' 'excruciating pain' 'excruciating pain']",Semantic confusion
severe muscle pain,severe muscle pain,Severe muscle pain,"['severe muscle pain' 'severe muscle pain' 'Severe muscle pain'
 'Severe muscle pain' 'severe muscle pain']",Lexical variation
significan heart muscle weakness,significan heart muscle weakness,muscle weakness,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'muscle weakness'
 'muscle weakness']",Semantic confusion
intense shoulder and upper arm pain,intense shoulder and upper arm pain,severe intense left arm and shoulder pain,"['shoulder pain' 'shoulder pain' 'severe pain in shoulder'
 'severe shoulder pain' 'severe intense left arm and shoulder pain']",Semantic confusion
faintness,faintness,fainting,"['dizzyness' 'dizziness (fainting spells)' 'fainting spells'
 'feel weak and almost fainted' 'fainting']",Semantic confusion
itchiness,itchiness,skin itchiness,['itching' 'itchy' 'itchy' 'itchy' 'skin itchiness'],Semantic confusion
muscle aches in arms,Muscle aches in arms,muscle aches in arms,"['muscle aches,' 'muscle aches' 'extreme muscle pain in arms'
 'Muscle aches in arms' 'muscle aches in arms']",Lexical variation
tingling eyes,tingling eyes,tingling face,['Tingling' 'tingling' 'tingling' 'tingling' 'tingling face'],Semantic confusion
pain in my neck,pain in my neck,Pain in neck,"['Pain in neck' 'pain in neck' 'pain in neck' 'pain in neck'
 'pain in neck']",Semantic confusion
itchy hands,itchy hands,itchy,['itches' 'skin itchiness' 'itchy' 'itchy' 'itchy'],Semantic confusion
muscle atrophy,Muscle atrophy,muscle atrophy,['muscle atrophy legs' 'atrophy' 'atrophy' 'atrophy' 'muscle atrophy'],Semantic confusion
diminished mental acuity,diminished mental acuity,diminished eyesight,"['loss of coherent thought' 'Vision reduced' 'decreased cognitive skills'
 'cognitive ability deminished' 'diminished eyesight']",Semantic confusion
muscle aches in legs,muscle aches in legs,muscle aches in my legs,"['muscle pain in legs' 'muscle pain in the legs' 'aches in legs'
 'aching muscles in legs' 'muscle aches in my legs']",Semantic confusion
cognitive disfunction,Cognitive disfunction,decreased cognitive skills,"['mental confusion' 'loss of coherent thought'
 'inability to think clearly' 'cognitive ability deminished'
 'decreased cognitive skills']",Semantic confusion
felt lazy,Felt lazy,lazyness (I don't feel like doing anything),"['no motivation' 'feel tired' 'diziness' 'diziness'
 ""lazyness (I don't feel like doing anything)""]",Semantic confusion
needed to rest every few minutes,needed to rest every few minutes,couldn't get enough sleep,"['always tired' 'always tired' 'much fatigue' 'gets tired a lot'
 ""couldn't get enough sleep""]",Semantic confusion
feel as if i was  years old,Feel as if I was 90 years old,felt much older than I was,"['felt like an old (older) man' 'feel like an old man'
 'never felt so old in my life' ""feel like I've aged 20 years""
 'felt much older than I was']",Semantic confusion
joint pain,joint pain,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Lexical variation
severe pain in the upper back,severe pain in the upper back,severe pain in back,"['Severe back pain' 'Severe back pain' 'Severe back pain'
 'extreme pain in back' 'severe pain in back']",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
pain in throat,pain in throat,hurts throat,"['tightness in my throat' 'swelling in throat' 'swelling of throat'
 'sore throat' 'hurts throat']",Semantic confusion
destroyed my selfconfidence,destroyed my self-confidence,destroyed my sex life,"['thoughts of hurting myself' 'lost all sexual desires and thoughts'
 'loss of desire to do or accomplish anything' 'self loathing'
 'destroyed my sex life']",Semantic confusion
muscle spasams in face and neck,muscle spasams in face and neck,muscle spasmns in left arm,"['muscle spasms' 'extreme muscle spazms in my lower back'
 'muscle aches in my neck' 'muscle cramps in face'
 'muscle spasmns in left arm']",Semantic confusion
lower back pain,lower back pain,Lower back pain,"['LOWER BACK PAIN' 'lower back pain' 'lower back pain' 'lower back pain'
 'Lower back pain']",Lexical variation
rashes,rashes,Rashes,['rash' 'rash' 'Rashes' 'Rashes' 'rashes'],Lexical variation
lower tendon pain,lower tendon pain,tendon pain,"['Pain in lower back' 'tendon ruptures' 'Achilles tendon pain in'
 'pain in every tendon in my body' 'tendon pain']",Semantic confusion
heel is hot,heel is hot,heel pain,"['right heel became painful' 'painful heels' 'heels hurt' 'heel pain'
 'heel pain']",Semantic confusion
joint pain,JOINT PAIN,Joint pain,['joint pain' 'joint pain' 'joint pain' 'joint pain' 'joint pain'],Semantic confusion
rheumatoid arthtitis,Rheumatoid Arthtitis,rheumatoid arthritis,"['sever arthritic condition' 'Arthritic type pain in all joints'
 'inflammation of my joints' 'joint pain very arthritic'
 'rheumatoid arthritis']",Semantic confusion
couldnt find words,Couldn't find words,unable to find words or remember names,"[""could'nt concentrate"" ""could'nt talk"" 'couldnt remember anything'
 'words would not form' 'unable to find words or remember names']",Semantic confusion
balance is off at times,balance is off at times,problems with balance,"['balance problems' 'balance problems' 'BALANCE PROBLEMS'
 'problems with my balance' 'problems with balance']",Semantic confusion
pain in my left leg and foot,pain in my left leg and foot,pain in my left leg,"['pain in leg' 'pain in left foot' 'severe pain in left leg'
 'pain in my my left leg' 'pain in my left leg']",Semantic confusion
halucinations,halucinations,halucinations during day,"['nightmares' 'Nightmares' 'terrifying thoughts' 'hallucinations'
 'halucinations during day']",Semantic confusion
high,high,high BP,['low bp' 'high blood press' 'extremely hyper' 'HIGH CPK' 'high BP'],Semantic confusion
hotheated flushing sensation that began midtorso and continued up to the top of head top of scalp started tingling and burning,hot/heated flushing sensation that began mid-torso and continued up to the top of head (top of scalp started tingling and burning),tingling in the scalp,"['tingling in side of face' 'Burning sensations in neck'
 'tingly feeling in scalp' 'face and scalp tingling'
 'tingling in the scalp']",Semantic confusion
pain in ankle,pain in ankle,ankle pain,"['exteem pain in my ankle' 'terrible pains in ankle' 'ankle pain'
 'ankle pain' 'ANKLE PAIN']",Semantic confusion
mild nausea,mild nausea,EXTREME nausea,['nausea' 'slight nausea' 'slight nausea' 'severe nausea' 'EXTREME nausea'],Semantic confusion
calves are sore and tender to the touch,calves are sore and tender to the touch,extremely tender calves,"['severe pain in calves' 'calf muscles painful to touch' 'calves hurt'
 'soreness in calf muscles' 'extremely tender calves']",Semantic confusion
bleeding in my abdomen after coughing and rupturing a blood vessel,bleeding in my abdomen after coughing and rupturing a blood vessel,gastric bleed,"['heavy bleeding' 'increased bleeding' 'Bleeding problems'
 'bleeding problem' 'gastric bleed']",Semantic confusion
significant strength reduction,significant strength reduction,decrease in overall strength,"['No strength' 'no strength' 'decrease in muscle strength'
 'losing strength' 'decrease in overall strength']",Semantic confusion
depression,Depression,depression,['depression' 'depression' 'depression' 'depression' 'depression'],Semantic confusion
memory loss,Memory loss,memory loss,['Memory Loss' 'memory loss' 'memory loss' 'memory loss' 'memory loss'],Semantic confusion
liver blood test mildly elevated,Liver blood test mildly elevated,very elevated liver function tests,"['elevated liver enzymes' 'liver enzymes elevated'
 'liver enzymes were very elevated' 'elevated liver function'
 'very elevated liver function tests']",Semantic confusion
stiffness,Stiffness,stiffness,['stiffness' 'stiffness' 'Stiffness' 'stiffness' 'stiffness'],Lexical variation
fogginess,fogginess,Foggy,"['feeling in a fog' 'foggy-headedness' 'Mental fogginess'
 'mental fogginess' 'Foggy']",Semantic confusion
persistent pain in knee,persistent pain in knee,pain in knee,"['severe knee pain' 'SEVERE KNEE PAIN' 'Sudden knee pain'
 'terrible pains in knee' 'pain in knee']",Semantic confusion
horrible leg pain,Horrible leg pain,leg pain,['leg pain' 'leg pain' 'leg pain' 'leg pain' 'leg pain'],Semantic confusion
joint stiffness in hands,joint stiffness in hands,stiffness in hands,"['finger stiffness' 'Joint Stiffness' 'joint stiffness' 'joint stiffness'
 'stiffness in hands']",Semantic confusion
memory lapses,Memory lapses,memory lapses,"['memory deficits' 'memory deficits' 'memory difficulties' 'Memory'
 'memory lapses']",Semantic confusion
numbness face,numbness face,face has felt numb,['numbness' 'numbness' 'Numbness' 'numbness' 'face has felt numb'],Semantic confusion
imence pain in feet,imence pain in feet,pain in feet,['feet pains' 'feet pains' 'pain in foot' 'pain in feet' 'pain in feet'],Semantic confusion
cramps,CRAMPS,cramps,['cramps' 'cramps' 'cramps' 'cramps' 'cramps'],Semantic confusion
inability to think fast enough,inability to think fast enough,inability to think clearly,"['inability to concentrate' 'thinking problems' 'Difficulty thinking'
 'frequently unable to think clearly' 'inability to think clearly']",Semantic confusion
muscle crammps,muscle crammps,muscles cramp,"['muscle cramps' 'muscle cramps' 'muscle cramps' 'muscle cramps'
 'muscles cramp']",Semantic confusion
hard to get out of bed in the morning,hard to get out of bed in the morning,can't get out of bed in the morning,"[""can't get out of bed"" 'could barely get out of bed in the morning'
 'difficult for me to get out of bed'
 'not being able to get out of bed in the morning'
 ""can't get out of bed in the morning""]",Semantic confusion
couldnt sleep,Couldn't sleep,couldn't sleep,"['could not sleep' 'Could not sleep' 'could not sleep' ""couldn't sleep""
 ""couldn't sleep""]",Semantic confusion
terrible muscle pain,terrible muscle pain,HORRIBLE muscle pains,"['Severe muscle pain' 'Severe muscle pain' 'severe muscle pain'
 'UNBEARABLE MUSCLE PAIN' 'HORRIBLE muscle pains']",Semantic confusion
joint pain in my knees,joint pain in my knees,Joint pain in the knees,"['severe pain in my knees' 'Pain in knees' 'PAIN IN MY KNEES'
 'joint pain (knees)' 'Joint pain in the knees']",Semantic confusion
peripheral neuropathy in my hands,peripheral neuropathy in my hands,Peripheral Neuropathy,"['peripheral neuropathy in arms' 'peripheral neuropathy'
 'peripheral neuropathy' 'Peripheral Neuropathy' 'peripheral neuropathy']",Semantic confusion
trouble walking,Trouble walking,trouble walking,"['hard time walking' 'difficulty to walk' 'difficulty walking'
 'difficulty walking' 'trouble walking']",Semantic confusion
memory loss,Memory loss,memory loss,['Memory Loss' 'memory loss' 'memory loss' 'memory loss' 'memory loss'],Semantic confusion
stiffness in both legs,stiffness in both legs,stiffness in legs,"['stiffness in both knees' 'Stiffness of limbs' 'stiff upper leg'
 'Stiffness in legs' 'stiffness in legs']",Semantic confusion
tingling sensation in the back of my neck,tingling sensation in the back of my neck,Tingling in back of neck,"['severe tingling' 'tingling in side of face'
 'sensations of tingling in my legs' 'tingling in the neck'
 'Tingling in back of neck']",Semantic confusion
balance problems,balance problems,BALANCE PROBLEMS,"['problems with my balance' 'problems with balance' 'balance problems'
 'BALANCE PROBLEMS' 'balance problems']",Lexical variation
inflamation,inflamation,painful inflamation of joints,"['stress' 'inflexibility' 'inflammed ligaments'
 'painful inflamation of knuckles' 'painful inflamation of joints']",Semantic confusion
insomnia,Insomnia,insomnia,['Insomnia' 'Insomnia' 'insomnia' 'insomnia' 'insomnia'],Lexical variation
ulceration of stomach,ulceration of stomach,STOMACH ULCER,"['stomach pain' 'stomach pain' 'stomach pain'
 'ulceration of the osophragus' 'STOMACH ULCER']",Semantic confusion
s l o w walking,s l o w walking,trouble walking,"['bearly walk' 'dificultly in walking' 'hardly walk' 'hard time walking'
 'trouble walking']",Semantic confusion
eyes get blury,eyes get blury,blurry eyesight,"['blurry vision' 'Blury vision' 'very blurry eyesight' 'blurring eyesight'
 'blurry eyesight']",Semantic confusion
lower back pain,lower back pain,Lower back pain,"['LOWER BACK PAIN' 'lower back pain' 'lower back pain' 'lower back pain'
 'Lower back pain']",Lexical variation
right knee always swollen,Right knee always swollen,swelling of right knee,"['knee swells' 'swelling in knee' 'swelling at knee'
 'Right knee always sore' 'swelling of right knee']",Semantic confusion
body aches,body aches,Body aches,['body aches' 'body aches' 'body aches' 'Body aches' 'Body aches'],Lexical variation
diarreha,diarreha,Diarreha,['Diarrehea' 'diarrea' 'diarreah' 'diarreah' 'Diarreha'],Semantic confusion
extreme depression,extreme depression,Severe depression,"['severe depression' 'severe depression' 'severe depression'
 'severe depression' 'Severe depression']",Semantic confusion
numbness in left toe,Numbness in left toe,numbness in left foot,"['Numbness in all of my toes' 'numb feet in toe area'
 'Numbness in all toes' 'numbness in toes' 'numbness in left foot']",Semantic confusion
severe muscle pain,severe muscle pain,Severe muscle pain,"['severe muscle pain' 'severe muscle pain' 'Severe muscle pain'
 'Severe muscle pain' 'severe muscle pain']",Lexical variation
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
alopecia,alopecia,Alopecia,"['hair loss' 'hair loss' 'hair loss' 'Hair loss (Diffuse Alopecia)'
 'Alopecia']",Semantic confusion
difficult to sleep,Difficult to sleep,hard to sleep,"['Inability to Sleep' 'Difficulty sleeping' 'difficulty sleeping'
 'difficulty sleeping' 'hard to sleep']",Semantic confusion
tingling legs,tingling legs,Tingling in legs,"['sensations of tingling in my legs' 'legs started tingling'
 'tingling in my legs' 'legs tingling in' 'Tingling in legs']",Semantic confusion
muscles in my left leg locked up,muscles in my left leg locked up,loss of muscle in left leg,"['leg muscle discomfort' 'muscle issues' 'muscles very tight'
 'muscle problems legs' 'loss of muscle in left leg']",Semantic confusion
hip hurts,hip hurts,hip hurt,['hip pain' 'hip pain' 'hip pain' 'hip pain' 'hip hurt'],Semantic confusion
swelling,Swelling,swelling,['swelling' 'SWELLING' 'swelling' 'swelling' 'swelling'],Semantic confusion
stomach ulcers,STOMACH ULCERS,STOMACH ULCER,"['perforated ulcer' 'ulcer lower bowel' 'stomach problems'
 'Stomach problems' 'STOMACH ULCER']",Semantic confusion
insomia,insomia,Insomia,['diarria' 'Insomina' 'Insomina' 'insomina' 'Insomia'],Semantic confusion
major menstrual cramps,MAJOR menstrual cramps,menstrual cramps,"['period cramps' 'period cramps' 'period cramps' 'menstrual cramps'
 'menstrual cramps']",Semantic confusion
psychiatric side effects,psychiatric side effects,severe mood swings,"['Mood problems' 'intense depression' 'intense anxiety attacks'
 'psychiatric' 'severe mood swings']",Semantic confusion
couldnt pass urine,couldnt pass urine,couldn't urinate,"[""couldn't eat or drink"" 'urine leaking' 'urine is bloody'
 'Difficulty urinating' ""couldn't urinate""]",Semantic confusion
hair losss,hair losss,hair loss,['hair loss' 'hair loss' 'hair loss' 'hair loss' 'hair loss'],Semantic confusion
frequent urination,frequent urination,urge to urinate constantly,"['urinary incontinence' 'urinary problems' 'Difficulty urinating'
 'no control over urination' 'urge to urinate constantly']",Semantic confusion
joint pain,joint pain,Joint pain,['Joint Pain' 'joint pain' 'joint pain' 'JOINT PAIN' 'JOINT PAIN'],Lexical variation
urine corrosive,urine corrosive,urine leaking,"['dark urine' 'urine full of blood' 'blood in urine' 'urine is bloody'
 'urine leaking']",Semantic confusion
throbbingburning sensation,"throbbing,burning sensation",burning sensations,"['burning feeling' 'vibrating sensation' 'Burning sensations in neck'
 'Throbbing headache' 'burning sensations']",Semantic confusion
panic attack,panic attack,panic attacks,"['mild panic attack' 'panic attacks' 'panic attacks' 'panic attacks'
 'panic attacks']",Semantic confusion
stomach sensitivity,stomach sensitivity,stomach discomfort,"['stomach discomfort' 'stomach discomfort' 'stomach discomfort'
 'stomach discomfort' 'stomach discomfort']",Semantic confusion
back pain upper,back pain upper,back pain,['back pain' 'back pain' 'back pain' 'Back pain' 'back pain'],Semantic confusion
tightness of throat,Tightness of throat,throat tightness,"['tightness in the neck' 'Tight throat'
 'tightness in throat with occasional choking problem'
 'tightness in my throat' 'throat tightness']",Semantic confusion
vision severe impairment,Vision severe impairment,vision impaired,"['vision problems' 'vision problems' 'sudden loss of vision'
 'severe vision problems' 'vision impaired']",Semantic confusion
irritable,irritable,Irritable,['irritability' 'very irritable' 'irritable' 'Irritable' 'irritable'],Lexical variation
tingling in feet,Tingling in feet,tingling of feet,"['tingling in the soles of my feet' 'Tingling toes'
 'sensations of tingling in my feet' 'Tingling in toes and feet'
 'tingling of feet']",Semantic confusion
terrible pains in big toe,terrible pains in big toe,pain in toes and feet,"['weird symptoms (eg. popping) in big toe joints' 'toes hurt' 'toes hurt'
 'toes hurt' 'pain in toes and feet']",Semantic confusion
mental fog,mental fog,Mental fogginess,"['Brain Fog' 'Brain fog' 'Foggy mental state' 'Mental fogginess'
 'mental fogginess']",Semantic confusion
muscle pains in my hips,MUSCLE PAINS IN MY HIPS,severe muscle pain in hips,"['severe pain in hips' 'severe pain in hips' 'MUSCLE PAIN IN HIP'
 'pains in hips' 'severe muscle pain in hips']",Semantic confusion
shooting lower abdominal pains,shooting lower abdominal pains,lower abdominal pain,"['abdominal pain' 'abdominal pain' 'severe lower abdominal pain/cramping'
 'abdominal pains' 'lower abdominal pain']",Semantic confusion
tighening of the chest,tighening of the chest,chest tightness,"['chest discomfort' 'chest hurt' 'Chest tightness' 'chest tightness'
 'chest tightness']",Semantic confusion
leg neuropathy,leg neuropathy,neuropathy,['neuropathy' 'neuropathy' 'neuropathy' 'Neuropathy' 'NEUROPATHY'],Semantic confusion
burning sensation,burning sensation,burning sensations,"['burning' 'burning' 'burning sensations in legs' 'burning feeling'
 'burning sensations']",Semantic confusion
swollen nasal passages,swollen nasal passages,swells the nasal passages,"['swollen tongue' 'Facial swelling' 'swelling in throat'
 'swelling of throat' 'swells the nasal passages']",Semantic confusion
remember the entire e,remember the entire e,forgetful,"['forgetfulness' 'forgetfulness' 'forgetfulness'
 'forget things all the time' 'forgetful']",Semantic confusion
hyperactive,hyperactive,extremely hyper,"['light headed' 'light headed' 'LIGHT HEADED' 'light headed'
 'extremely hyper']",Semantic confusion
struggling walking too far,struggling walking too far,trouble walking,"['hard time walking' 'difficulty to walk' 'difficulty walking'
 'difficulty walking' 'trouble walking']",Semantic confusion
affecting my stomachacid reflux,affecting my stomach(acid reflux),severe acid reflux,"['acid reflux' 'acid reflux' 'acid reflux' 'acid reflux'
 'severe acid reflux']",Semantic confusion
concentration is worse than ever,concentration is worse than ever,concentration is poor,"['lack of concentration' 'Lack of Concentration' 'terrible concentration'
 'Poor concentration' 'concentration is poor']",Semantic confusion
wild mood swings,wild mood swings,mood swings,['mood swings' 'Mood swings' 'mood swings' 'MOOD SWINGS' 'mood swings'],Semantic confusion
blisters in my mouth,blisters in my mouth,blisters,"['blisterey rash on my arms' 'blisterey rash on my legs'
 'Rash with blisters' 'blisters' 'blisters']",Semantic confusion
feeling shakey,feeling shakey,shaking,"['feeling sick' 'fluish feeling' 'shaking with chills uncontrollably'
 'Feel shaky' 'shaking']",Semantic confusion
vivid dreams,vivid dreams,vivid nightmares,"['bad dreams nightly' 'weird dreams' 'bad dreams' 'bad dreams'
 'vivid nightmares']",Semantic confusion
loss of muscle strenth mainly calves,"loss of muscle strenth, mainly calves",LOSS OF CALF SUPPORT IN LEGS,"['loss of muscle in left leg' 'Calf muscle strains' 'loss of muscle'
 'loss of support in all muscels in particular calf and leg'
 'LOSS OF CALF SUPPORT IN LEGS']",Semantic confusion
cannot sleep,cannot sleep,unable to sleep,"[""can't sleep"" 'can not sleep' 'unable to sleep' 'unable to sleep'
 'unable to sleep']",Semantic confusion
bleeding problems,bleeding problems,Bleeding problems,"['bleeding' 'bleeding' 'bleeding constantly' 'bleeding problem'
 'Bleeding problems']",Semantic confusion
